match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,referee_id,player_of_the_match_id
43,2026-06-22,21:00,1,3,37,39,2,0,,,Completed,Regular,1.78,0.55,18,946
44,2026-06-22,23:59,1,15,40,38,1,2,,,Completed,Regular,0.88,1.92,19,984
45,2026-06-23,15:00,1,11,41,43,5,0,,,Completed,Regular,3.54,0.42,20,1047
46,2026-06-23,18:00,1,7,44,42,1,0,,,Completed,Regular,1.62,0.58,18,1120
47,2026-06-23,21:00,1,4,45,47,0,0,,,Completed,Regular,1.12,0.89,22,1147
48,2026-06-23,23:59,1,9,48,46,0,1,,,Completed,Regular,0.42,1.48,23,1181
49,2026-06-24,18:00,1,1,4,1,0,3,,,Completed,Regular,1.1,1.27,24,20
50,2026-06-24,18:00,1,8,2,3,1,0,,,Completed,Regular,1.26,1.39,25,38
51,2026-06-24,22:00,1,5,8,5,2,1,,,Completed,Regular,0.71,1.35,26,191
52,2026-06-24,22:00,1,6,6,7,3,1,,,Completed,Regular,1.48,0.95,27,149
53,2026-06-25,18:00,1,13,12,9,0,3,,,Completed,Regular,0.45,2.18,28,215
54,2026-06-25,18:00,1,9,10,11,4,2,,,Completed,Regular,2.35,1.12,6,236
55,2026-06-25,22:00,1,3,16,13,3,2,,,Completed,Regular,1.62,1.45,2,398
56,2026-06-25,22:00,1,16,14,15,0,0,,,Completed,Regular,0.55,0.48,3,339
57,2026-06-26,18:00,1,11,20,17,2,1,,,Completed,Regular,1.28,1.55,4,514
58,2026-06-26,18:00,1,14,18,19,0,2,,,Completed,Regular,0.32,1.68,5,487
59,2026-06-26,22:00,1,12,24,21,1,3,,,Completed,Regular,0.62,2.15,7,539
60,2026-06-26,22:00,1,15,22,23,1,1,,,Completed,Regular,1.12,0.95,8,557
61,2026-06-27,18:00,1,5,28,25,1,5,,,Completed,Regular,0.48,3.25,9,634
62,2026-06-27,18:00,1,16,26,27,1,1,,,Completed,Regular,0.85,0.92,10,699
63,2026-06-27,22:00,1,13,32,29,0,1,,,Completed,Regular,0.78,1.35,11,743
64,2026-06-27,22:00,1,9,30,31,0,0,,,Completed,Regular,0.42,0.38,12,755
65,2026-06-26,18:00,1,10,36,33,1,4,,,Completed,Regular,1.3,0.96,13,839
66,2026-06-26,18:00,1,6,34,35,5,0,,,Completed,Regular,3.01,0.14,14,871
67,2026-06-27,22:00,1,4,40,37,1,3,,,Completed,Regular,0.76,2.13,15,946
68,2026-06-27,22:00,1,12,38,39,3,3,,,Completed,Regular,1.62,1.44,16,969
69,2026-06-28,18:00,1,11,44,41,0,0,,,Completed,Regular,1.62,0.73,18,1041
70,2026-06-28,18:00,1,7,42,43,3,1,,,Completed,Regular,2.35,0.2,17,1086
71,2026-06-28,22:00,1,9,48,45,0,2,,,Completed,Regular,0.69,1.39,19,1154
72,2026-06-28,22:00,1,14,46,47,2,1,,,Completed,Regular,0.42,0.74,20,1187
73,2026-06-29,12:00,2,3,2,5,0,1,,,Completed,Regular,0.13,1.32,17,111
74,2026-06-29,23:00,2,11,9,22,2,1,,,Completed,Regular,1.69,0.23,18,213
75,2026-06-30,02:30,2,10,17,14,1,1,3,4,Completed,Penalties,0.72,0.42,19,350
76,2026-06-30,07:00,2,8,21,10,1,1,2,3,Completed,Penalties,0.23,1.4,8,248
77,2026-06-30,23:00,2,4,19,36,1,2,,,Completed,Regular,1.15,2.02,7,930
78,2026-07-01,03:00,2,2,33,23,3,0,,,Completed,Regular,3.17,0.67,6,842
79,2026-07-01,07:00,2,1,1,20,2,0,,,Completed,Regular,1.02,0.73,20,16
80,2026-07-01,22:00,2,9,45,42,2,1,,,Completed,Regular,2.04,0.76,21,1153
81,2026-07-02,02:00,2,16,25,34,3,2,,,Completed,AET,1.74,3.58,22,632
82,2026-07-02,06:00,2,15,13,6,2,0,,,Completed,Regular,0.92,0.25,23,329
83,2026-07-03,01:00,2,3,29,39,3,0,,,Completed,Regular,2.84,0.32,24,749
84,2026-07-03,05:00,2,6,41,46,2,1,,,Completed,Regular,2.18,1.34,25,1047
85,2026-07-03,09:00,2,5,8,38,2,0,,,Completed,Regular,2.52,0.73,26,189
86,2026-07-04,00:00,2,4,15,26,1,1,2,4,Completed,Penalties,0.87,1.36,27,660
87,2026-07-04,04:00,2,13,37,30,3,2,,,Completed,AET,2.16,0.46,28,946
88,2026-07-04,07:30,2,12,44,47,1,0,,,Completed,Regular,2.19,0.26,5,1129
89,2026-07-04,21:00,3,14,14,33,0,1,,,Completed,Regular,0.3,1.8,13,350
90,2026-07-04,23:00,3,11,5,10,0,3,,,Completed,Regular,0.8,1.2,3,242
91,2026-07-05,20:00,3,4,9,36,1,2,,,Completed,Regular,2.61,1.05,14,919
92,2026-07-06,01:00,3,1,1,45,2,3,,,Completed,Regular,1.88,1.61,14,1154
93,2026-07-06,19:00,3,13,41,29,0,1,,,Completed,Regular,0.85,1.42,4,749
94,2026-07-07,00:00,3,15,13,25,1,4,,,Completed,Regular,1.05,2.3,21,632
95,2026-07-07,16:00,3,12,37,26,3,2,,,Completed,Regular,2.15,1.1,1,946
96,2026-07-07,20:00,3,16,8,44,0,0,,,Completed,Regular,0.7,0.85,6,1129
97,2026-07-09,20:00,4,10,33,10,2,0,,,Completed,Regular,1.8,0.45,16,842
98,2026-07-10,19:00,4,3,29,25,2,1,,,Completed,Regular,1.9,1.15,3,749
99,2026-07-11,21:00,4,13,36,45,1,2,,,Completed,AET,0.77,0.96,10,1154
100,2026-07-12,01:00,4,12,37,8,3,1,,,Completed,AET,2.0,0.53,17,945
101,2026-07-14,20:00,5,4,33,29,0,2,,,Completed,Regular,0.3,1.63,10,740
102,2026-07-15,20:00,5,9,45,37,1,2,,,Completed,Regular,0.54,1.8,6,946
103,2026-07-18,22:00,6,13,33,45,4,6,,,Completed,Regular,2.88,2.88,7,1151
104,2026-07-19,20:00,7,2,29,37,1,2,,,Completed,AET,1.12,1.95,20,946
